group_order,group_code,analysis_group,organism_prefix,mirbase_organism_name,mirbase_lineage,ncbi_taxid,raw_mature_records,unique_sequences_within_organism,source_subgroup
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),abu,Astatotilapia burtoni,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8153,236,236,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),ccr,Cyprinus carpio,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,7962,146,146,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),dre,Danio rerio,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,7955,374,364,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),eel,Electrophorus electricus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8005,34,34,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),fru,Fugu rubripes,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,31033,108,107,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),gmo,Gadus morhua,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8049,516,511,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),hhi,Hippoglossus hippoglossus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8267,36,35,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),ipu,Ictalurus punctatus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,7998,205,204,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),mze,Metriaclima zebra,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,106582,184,184,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),nbr,Neolamprologus brichardi,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,32507,182,182,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),oni,Oreochromis niloticus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8128,695,685,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),ola,Oryzias latipes,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8090,146,143,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),pol,Paralichthys olivaceus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8255,38,37,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),pma,Petromyzon marinus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Agnathostomata,7757,302,301,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),pny,Pundamilia nyererei,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,303518,182,179,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),ssa,Salmo salar,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,8030,497,478,Fishes - non-tetrapod vertebrates
1,01_fishes_non_tetrapod,Fishes (non-tetrapod vertebrates),tni,Tetraodon nigroviridis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Teleostei,99883,109,109,Fishes - non-tetrapod vertebrates
2,02_amphibians,Amphibians,xla,Xenopus laevis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Amphibia,8355,247,246,Amphibians
2,02_amphibians,Amphibians,xtr,Xenopus tropicalis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Amphibia,8364,182,181,Amphibians
3,03_non_avian_reptiles,Non-avian reptiles,ami,Alligator mississippiensis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Sauria,8496,373,369,Non-avian reptiles
3,03_non_avian_reptiles,Non-avian reptiles,aca,Anolis carolinensis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Sauria,28377,449,447,Non-avian reptiles
3,03_non_avian_reptiles,Non-avian reptiles,cpi,Chrysemys picta,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Sauria,8479,405,402,Non-avian reptiles
3,03_non_avian_reptiles,Non-avian reptiles,oha,Ophiophagus hannah,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Sauria,8665,343,335,Non-avian reptiles
3,03_non_avian_reptiles,Non-avian reptiles,pbv,Python bivittatus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Sauria,176946,307,304,Non-avian reptiles
4,04_aves,Aves,apl,Anas platyrhynchos,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Aves,8839,8,8,Aves
4,04_aves,Aves,cli,Columba livia,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Aves,8932,420,419,Aves
4,04_aves,Aves,gga,Gallus gallus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Aves,9031,1235,1232,Aves
4,04_aves,Aves,tgu,Taeniopygia guttata,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Aves,59729,334,332,Aves
5,05_human,Human,hsa,Homo sapiens,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Hominidae,9606,2656,2632,Human
6,06_non_human_primates,Non-human primates,age,Ateles geoffroyi,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Atelidae,9509,54,54,Non-human primates
6,06_non_human_primates,Non-human primates,cja,Callithrix jacchus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cebidae,9483,470,468,Non-human primates
6,06_non_human_primates,Non-human primates,dma,Daubentonia madagascariensis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Daubentoniidae,31869,67,65,Non-human primates
6,06_non_human_primates,Non-human primates,ggo,Gorilla gorilla,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Hominidae,9593,369,359,Non-human primates
6,06_non_human_primates,Non-human primates,lla,Lagothrix lagotricha,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Atelidae,9519,45,45,Non-human primates
6,06_non_human_primates,Non-human primates,lca,Lemur catta,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Lemuridae,9447,15,15,Non-human primates
6,06_non_human_primates,Non-human primates,mml,Macaca mulatta,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cercopithecidae,9544,912,908,Non-human primates
6,06_non_human_primates,Non-human primates,mne,Macaca nemestrina,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cercopithecidae,9545,70,70,Non-human primates
6,06_non_human_primates,Non-human primates,mmr,Microcebus murinus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cheirogaleidae,30608,109,106,Non-human primates
6,06_non_human_primates,Non-human primates,nle,Nomascus leucogenys,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Hylobatidae,61853,135,134,Non-human primates
6,06_non_human_primates,Non-human primates,oga,Otolemur garnettii,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Galagidae,30611,127,123,Non-human primates
6,06_non_human_primates,Non-human primates,ppa,Pan paniscus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Hominidae,9597,157,157,Non-human primates
6,06_non_human_primates,Non-human primates,ptr,Pan troglodytes,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Hominidae,9598,587,582,Non-human primates
6,06_non_human_primates,Non-human primates,pha,Papio hamadryas,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cercopithecidae,9557,86,85,Non-human primates
6,06_non_human_primates,Non-human primates,ppy,Pongo pygmaeus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Hominidae,9600,645,640,Non-human primates
6,06_non_human_primates,Non-human primates,pbi,Pygathrix bieti,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cercopithecidae,61621,9,9,Non-human primates
6,06_non_human_primates,Non-human primates,sla,Saguinus labiatus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cebidae,78454,40,40,Non-human primates
6,06_non_human_primates,Non-human primates,sbo,Saimiri boliviensis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Cebidae,27679,36,36,Non-human primates
6,06_non_human_primates,Non-human primates,ssy,Symphalangus syndactylus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Primates > Hominidae,9590,10,10,Non-human primates
7,07_other_mammals,Other mammals,aja,Artibeus jamaicensis,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Laurasiatheria,9417,19,19,Other mammals
7,07_other_mammals,Other mammals,bta,Bos taurus,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Ruminantia,9913,1030,1028,Other mammals
7,07_other_mammals,Other mammals,cfa,Canis familiaris,Metazoa > Bilateria > Deuterostoma > Chordata > Vertebrata > Mammalia > Carnivora,9615,453,453,Other mammals
